model_id,variant,sample_id,target_language,detected_language,identity_true,success,invalid,response_text
qwen-2.5-14b-instruct,plain,53,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,54,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,55,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,56,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,57,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,58,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,59,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,60,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,61,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,62,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,63,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,64,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,65,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,66,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,67,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,68,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,69,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,70,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,71,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,72,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,73,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,74,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,75,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,76,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,77,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,78,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,79,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,80,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,81,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,82,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,83,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,84,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,85,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,86,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,87,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,88,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,89,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,90,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,91,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,92,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,93,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,94,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,95,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,96,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,97,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,98,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,99,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,100,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,101,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,102,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,103,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,104,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,105,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,106,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,107,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,108,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,109,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,110,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,111,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,112,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,113,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,114,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,115,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,116,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,117,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,118,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,119,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,120,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,121,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,122,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,123,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,124,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,125,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,126,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,127,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,128,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,129,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,130,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,131,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,132,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,133,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,134,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,135,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,136,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,137,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,138,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,139,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,140,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,141,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,142,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,143,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,144,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,145,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,146,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,147,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,148,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,149,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,150,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,151,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,152,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,153,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,154,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,155,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,156,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,157,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,158,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,159,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,160,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,161,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,162,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,163,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,164,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,165,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,166,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,167,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,168,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,169,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,170,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,171,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,172,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,173,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,174,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,175,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,176,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,177,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,178,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,179,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,180,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,181,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,182,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,183,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,184,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,185,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,186,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,187,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,188,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,189,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,190,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,191,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,192,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,193,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,194,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,195,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,196,Italian,english,True,False,0,
qwen-2.5-14b-instruct,plain,197,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,198,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,199,French,english,True,False,0,
